Index,Summary
25,"Applied physicist needed for laser system design, development, operation, and maintenance at isotope separation facilities.  Experience in laser resonance ionization spectroscopy and optical/particle beam measurement is required.  Responsibilities include RILIS method development and radioisotope production."
26,"Applied Physicist needed with PhD or equivalent experience in electronic materials/devices.  Responsibilities include evaluating technologies, designing experiments, analyzing results, collaborating with partners, and developing new ideas."
27,"Accelerator physicist needed for CERN.  Responsibilities include optics model development, beam dynamics simulation, performance optimization of hadron injector rings and LHC, and conducting experiments. Requires experience in accelerator physics, optics design, beam measurements, and simulation codes (e.g., MAD-X)."
28,Modeling intern needed.  Requires a Master's degree (2nd year or final year) in engineering with expertise in fluid mechanics and applied mathematics.
29,"Accelerator physicist needed for CERN.  Responsibilities include optics modeling, beam dynamics simulation, performance optimization of hadron injector rings and LHC, and experiment design.  Requires experience with MAD-X or SixTrack, beam commissioning, and data analysis."
30,Conduct applied research in switching technology for sustainable protection solutions.  Develop new technologies for renewable energy integration.  Use advanced simulations and publish research findings.  PhD in Physics required; experience in laboratory work and data analysis preferred.
31,"Health Physicist needed for submarine support, ensuring radiological safety and legislative compliance (IRR17, EPR16).  Requires operational experience, relevant science degree/postgraduate diploma, and security clearance.  Responsibilities include policy implementation, safety order management, and emergency response."
32,"Accelerator physicist needed for CERN.  Responsibilities include optics model development, performance optimization of hadron injector rings, and beam dynamics simulations.  Requires experience in accelerator physics, optics design, and beam measurement analysis.  MAD-X or SixTrack experience preferred."
33,"Optical Physicist needed.  Newton Colmore Consulting is seeking an expert in optics.  Apply by November 29th, 2021."
34,"Accelerator physicist needed for CERN.  Responsibilities include optics modeling, beam dynamics simulations, performance optimization of hadron injector rings and LHC, and conducting experiments. Requires experience in accelerator physics, optics design, beam measurements, and simulation codes (e.g., MAD-X, SixTrack)."
35,"Applied Physicist needed for CERN CMS Level-1 Trigger upgrade.  Requires FPGA firmware development (VHDL, Vivado), high-energy physics algorithms, and experience with data acquisition systems.  On-site work, including nights and weekends, may be required."
36,"Applied Physicist needed for CERN CMS Level-1 Trigger upgrade.  Requires FPGA firmware development (VHDL, Vivado), high-energy physics algorithms, and experience with data acquisition systems.  Training and collaboration skills essential."
37,"Plasma physicist needed for COMPASS-U flight simulator development and maintenance.  Requires numerical modeling experience (Python, C/C++, Fortran) in fusion plasma physics. Full-time position offers benefits."
38,"Applied Physicist needed for CERN CMS Level-1 Trigger upgrade.  Requires experience in FPGA firmware development (VHDL, Vivado), high-energy physics algorithms, and data acquisition systems.  Knowledge of machine learning a plus."
39,"Applied Physicist needed for CERN CMS Level-1 Trigger upgrade.  Design, implement, and test physics algorithms in FPGA firmware.  Experience with high-energy physics, FPGA development, and data acquisition systems required.  Training and collaboration with other team members involved."
40,"Applied Physicist needed for CERN CMS Level-1 Trigger upgrade.  Requires experience in FPGA firmware development (VHDL, Vivado), high-energy physics algorithms, and data acquisition systems.  Knowledge of machine learning and training others a plus."
41,"Building Physicist needed with 3+ years' experience in dynamic simulation modeling (EDS Tas), UK Part L/SBEM, EPC/SAP calculations, and reporting.  Knowledge of sustainability (ESG, NZC), BREEAM/LEED preferred.  AutoCAD/Revit MEP skills a plus.  Project management and commercial awareness essential."
42,"Physics graduate needed (1st or 2:1).  Strong academic record, theoretical & empirical skills, excellent communication, drive, and initiative required.  Excellent benefits package including pension, bonus, and relocation assistance."
43,"Develop cutting-edge optoelectronic systems and optical sensors (visible to LWIR).  Perform simulations, measurements, and characterizations.  Provide technical support.  Collaborate in interdisciplinary teams."
44,"Develop cutting-edge optoelectronic systems and optical sensors (visible to LWIR).  Perform optical measurements, simulations, and requirement definition.  Support product lifecycle and collaborate in project teams."
45,"PhD-level physicist needed for electromagnetic analysis.  Requires expertise in metamaterials, RF/microwave, FEA/FDTD/PO/PTD, and programming (Matlab/R/Python).  Strong analytical and report-writing skills essential."
46,"Accelerator physicist needed for beam commissioning, optimization, and maintenance.  Requires Master's/PhD in physics/math, beam optics knowledge, and accelerator commissioning experience.  Python and MAD-X skills preferred.  Shift work required."
47,Postdoctoral Fellow needed for research on charged particle acceleration and radiation in laser plasmas.  Requires PhD in Physics/Mathematics with experience in theoretical/computational/experimental physics.  Numerical modeling and experimental participation involved.
48,"Postdoctoral Fellow needed for research on charged particle acceleration and electromagnetic radiation in laser plasmas.  Requires PhD in Physics/Mathematics with experience in theoretical/computational/experimental physics, numerical modeling, or plasma physics."
49,"Physicist needed.  Excellent benefits include 25 days annual leave, private medical insurance, employer pension contribution (12%), life insurance, relocation package (if applicable)."
50,"Senior Scientist needed for antibody and drug discovery.  Requires expertise in recombinant protein expression, purification (AKTA systems), characterization, and molecular biology techniques.  Experience with various expression systems (E.coli, insect, mammalian) and protein classes is crucial.  Strong communication and teamwork skills needed."
51,"Principal Biochemist needed with strong molecular/cellular biochemistry knowledge and experience in novel applications.  PhD preferred.  Competitive salary, benefits, and state-of-the-art labs offered."
52,"Principal Biochemist needed with PhD and expertise in molecular/cellular biochemistry and novel applications.  Competitive salary, benefits (12% pension, bonus), and autonomy offered.  State-of-the-art labs provided."
53,"Biochemist needed.  Newton Colmore Consulting seeks a biochemist.  Application deadline: December 17, 2021."
54,Protein Biochemist needed.  Apply by December 16th. Contact Fabio Roque at 0203 910 2980 (Reference: J5635504).
55,"Biochemist Consultant needed.  Lead projects from conception to launch, managing resources and budgets. Requires strong molecular/cellular biology, analytical skills, and experience in novel biochemistry techniques (DNA sequencing, IVDs, etc.).  PhD preferred.  Excellent communication skills essential.  ISO 13485 familiarity a plus."
56,"Biochemist consultant needed.  Develop and manage biochemistry projects (DNA sequencing, IVDs, antibody screening), collaborating with multidisciplinary teams.  Requires PhD/relevant experience, strong analytical skills, and excellent communication.  ISO 13485 familiarity preferred."
57,"Biochemist consultant needed.  Lead projects from conception to launch, managing resources and budgets.  Requires strong molecular/cellular biology, analytical skills, novel technique development experience (PhD preferred), and excellent communication.  ISO 13485 familiarity a plus."
58,"Senior Biochemist/Protein Scientist needed.  Develop high-throughput proteomics platform for isolating MHC complexes and purifying peptides from human tumor samples. Requires PhD, protein/peptide purification & analysis experience, and strong data analysis skills."
59,"Research Associate needed with 0-4 years' experience in molecular biology and biochemistry.  Requires strong lab skills, experience with Illumina sequencers and liquid handling robotics, and excellent communication skills.  Bachelor's/advanced degree required."
60,"Associate Scientist needed with 4-6 years' experience in molecular biology, biochemistry, and nucleic acid handling.  Requires strong lab skills, communication, and experience with Illumina sequencers and liquid handling robotics.  Bachelor's/advanced degree required."
61,"Scientist needed with PhD and 0-3 years postdoc experience in molecular biology/biochemistry.  Responsibilities include lab experimentation, Illumina sequencing, data analysis, and presentation.  Experience with library prep and protein characterization preferred."
62,"Lead Chemist/Biochemist to head compound management department (50,000+ molecules).  Manage a team, optimize automation (liquid handlers, compound storage), QC (HPLC/LCMS), and international shipping."
63,PhD-level Biochemist needed for biomarker assay development.  Mass spectrometry expertise required; immunoprecipitation experience preferred.
64,"Biochemist needed with PhD in biochemistry/molecular biology.  Expertise in biomarker assay development, mass spectrometry (immunoprecipitation experience preferred).  Apply by December 8th."
65,"PhD-level Biochemist/Structural Biologist needed.  Experience in membrane protein expression, purification, and structural biology techniques (cryo-EM, crystallography) is essential.  Familiarity with GPCRs or solute carriers preferred.  Strong analytical and communication skills required."
66,"Biochemist Consultant needed. Requires PhD (or equivalent) in biochemistry, strong molecular/cellular knowledge, lab experience, and communication skills.  Teamwork and project leadership essential.  Excellent benefits offered."
67,"Research Biochemist/Molecular Biologist needed.  PhD required. Expertise in enzyme kinetics, molecular biology techniques (PCR, qPCR, RT-PCR), and statistics.  Strong communication and teamwork skills. Experience with polymerases a plus."
68,"Biochemist needed for protein expression, purification, and biophysical characterization.  Requires advanced degree (MSc/PhD) in relevant field and experience with chromatographic techniques & biophysical characterization methods.  Excellent communication and teamwork skills essential."
69,"Biochemist needed for protein expression, purification, and biophysical characterization.  Requires advanced degree (MSc/PhD) and experience with chromatographic techniques and biophysical characterization methods. Excellent communication and teamwork skills essential.  Overpayment possible."
70,Biochemist needed for oligonucleotide synthesis and electrochemical measurements using microelectrode arrays.  Experience in oligonucleotide chemistry and electrochemistry required.  Team player with strong communication skills.
71,Biochemist needed for on-chip oligonucleotide synthesis and electrochemical measurements using microelectrode arrays.  Experience in oligonucleotide synthesis and characterization is required; electrochemistry background a plus.
72,"PhD-level Biochemist needed for membrane protein research.  Requires expertise in molecular biology, cell culture, protein expression/purification, and biophysical analysis.  Teamwork and communication skills essential. Native MS experience a plus."
73,"Senior Scientist needed for antibody and drug discovery.  Requires expertise in recombinant protein expression, purification (AKTA systems), characterization (SDS-PAGE, Western blot), and molecular biology.  Experience with diverse expression systems (E.coli, insect, mammalian) and membrane proteins preferred."
74,"PhD Biologist/Biochemist/Immunologist needed for R&D in cellular immunotherapy.  Responsibilities include genetic modification of T-cells, in vitro/in vivo characterization, project coordination, and reporting.  Experience in immunotherapeutics and T-cell biology required."
75,"Biochemist needed to purify monoclonal antibodies using various protein characterization methods (SDS-PAGE, LC/MS, etc.).  Requires a Bachelor's in Biochemistry or related field.  Experience with affinity chromatography and AKTA preferred.  Good English and Hungarian language skills required."
76,"Develop and optimize high-throughput proteomics and HLA peptidomics platforms using mass spectrometry.  Perform sample preparation, peptide identification, data analysis, and visualization.  Requires expertise in biochemistry and data presentation."
77,"Research Biochemist needed with PhD (or MSc/BSc + 3 years exp.) in relevant field.  Experience in drug discovery, enzyme inhibitors, assay development, and biophysical assays (DSF, ITC, DLS) required.  Competitive compensation and benefits offered."
78,"Senior Biochemist needed for drug discovery.  Requires PhD/MSc + relevant experience (3-7 years), expertise in biochemical targets (kinases, proteases, PPIs), assay development, hit discovery, and biophysical assays.  Mentoring experience preferred."
79,"Biochemist needed.  Purify monoclonal antibodies, analyze proteins (SDS-PAGE, LC/MS), follow SOPs, maintain documentation.  Bachelor's degree in Biochemistry/Life Sciences required;  affinity chromatography experience preferred.  Hungarian fluency needed."
80,"London-based Band 7 Biomedical Scientist (Biochemistry) locum needed.  ASAP start, contract until March 2022, £30/hour.  HCPC registration, 1+ year post-graduate experience required.  Duties include clinical advice and rota participation."
81,London-based Band 7 Biochemistry Biomedical Scientist needed (contract until March 2022).  £30/hour.  HCPC registration required; 1+ year post-grad experience.  Duties include clinical advice and on-call rota.
82,"Senior Process Chemist needed for a stable, growing agrochemical company.  Excellent opportunity for professional growth and development."
83,"Senior Process Chemist needed for agrochemicals.  Requires 8+ years' R&D experience in process scale-up, technology transfer, and troubleshooting.  Experience with CROs and international travel (up to 10%) required.  Develops safe, cost-effective chemical processes."
84,"Senior Process Chemist needed for agrochemicals.  Requires 8+ years' R&D experience in process scale-up (Kilo Lab/Pilot Plant), troubleshooting, technology transfer, and CRO collaboration.  Strong organic chemistry background essential.  International travel (up to 10%) may be required."
85,"Senior Process Chemist needed for agrochemicals.  Requires 8+ years' R&D experience in process scale-up (Kilo Lab/Pilot Plant), troubleshooting, and technology transfer.  Experience with CROs and international travel (up to 10%) preferred."
86,"Senior Process Chemist needed for drug substance process development.  Requires PhD in organic chemistry (5+ years' experience), project leadership, and excellent communication/negotiation skills.  Experience with regulatory submissions and outsourcing is essential."
87,"Develop and test cosmetic products (bath, body, hair, face) from concept to manufacturing.  Requires formulation expertise, natural ingredient knowledge, project management skills, and strong communication.  Science degree preferred."
88,"Principal Chemist needed for R&D in polymer synthesis and coating applications.  Lead projects, mentor team, scale-up products, investigate patentability, and present findings.  Requires organic chemistry expertise, strong communication, and proven innovation. Master's or PhD in Chemistry."
89,"Chemist needed for innovative research in coatings technology.  Requires PhD (or equivalent) in organic/polymer/colloid chemistry.  Responsibilities include new product development, characterization,  collaboration with academia and industry, patent applications, and strong communication skills."
90,Develop new color recipes and perform color matching.  Requires Bachelor's (Master's preferred) in Chemistry/Chemical Engineering (color specialization a plus).  Excellent communication and computer skills needed.
91,"Process Chemist needed with Master's/PhD in Chemistry.  Requires significant industrial experience in multi-kg scale organic synthesis, process safety assessments, and documentation.  Excellent communication and lab skills essential."
92,Lead Computational Chemist needed.  Apply by December 17th. Contact Mary Bolt at 01438 743047 (Reference 52240).
93,"Production Chemist needed.  CK Group seeks a chemist.  Apply by December 17th, 2021. Contact Sajra Hameed at 01246 457700 (Reference 52263)."
94,"Chemist needed for distillery.  Requires 1+ year manufacturing experience,  GC/HPLC skills,  and analytical/sensory testing expertise.  Teamwork and communication skills essential. Degree in Chemistry/Food Science/Microbiology."
95,"Process Chemist needed for pharmaceutical manufacturing.  Responsibilities include batch production, cGMP compliance, troubleshooting, data entry (SAP, Delta V), and operational excellence.  4+ years' experience and chemistry/chemical engineering degree required; API/small molecule experience preferred."
96,"Develop and optimize Enapter catalysts (100-10,000g scale).  Requires Master's in Chemistry/Chemical Engineering, 1-2 years' experience in solution-based chemical process scale-up.  Characterize catalysts using ICP, XRD, DLS, etc.  Teamwork, reporting, and occasional travel required."
97,"Enapter seeks a Development Chemist with 1-2 years' experience scaling solution-based chemical processes (100-10,000g).  Responsibilities include catalyst synthesis, characterization (ICP, XRD, etc.), and reporting.  Master's degree required.  Travel between Italy and Germany."
98,"Develop and scale adhesive/sealant formulations. Provide technical support to manufacturing and customers.  Requires BSc in science/engineering, project management skills, and IT proficiency.  Maintain HSE compliance and document findings."
99,"Process Chemist needed for a medical device company in Ireland.  Requires organic chemistry expertise, process scale-up experience, and GMP knowledge.  Responsibilities include new product introduction, technology transfer, and cost reduction.  PhD desirable."
100,"Polymer Chemist needed.  Develop and test new polymer materials.  Apply now! (SRG, J2162745)."
101,"Process Chemist needed for a leading Irish medical device company.  Requires organic chemistry expertise, process scale-up experience, and GMP manufacturing knowledge.  Project management skills and adherence to EHS standards are essential.  PhD in Organic Synthesis desirable."
102,"Process Chemist needed for a medical device company in Ireland.  Requires organic chemistry expertise, process scale-up experience, and GMP knowledge.  Responsibilities include new product introductions, technology transfer, and cost reduction.  PhD in Organic Synthesis desirable."
103,"Analytical Chemist needed for QC of products, method development & validation.  Requires HPLC, GC, and data processing experience.  BSc/MSc in relevant field (analytical chemistry preferred).  GLP/GMP knowledge desirable."
104,"Develop and improve adhesive/sealant formulations, providing technical support to manufacturing and customers.  Requires BSc in science/engineering, project management skills, and IT proficiency.  Maintain HSE documentation and engage with industry stakeholders."
105,"Develop and scale adhesive/sealant formulations.  Provide technical support to customers and manufacturing.  Requires BSc in science/engineering, project management skills, and IT proficiency.  Maintain HSE compliance and documentation."
106,"Senior Analytical Chemist needed with 5+ years' GMP lab experience in HPLC, method validation, and transfer.  Expertise in inhalation device testing (pMDIs, DPIs etc.) and data analysis is crucial.  Bachelor's degree required."
107,"Lead a team of medicinal chemists, designing and synthesizing molecules.  Interpret biological data, manage client projects, and ensure safe lab practices.  PhD in organic/medicinal chemistry required; LC-MS/NMR experience essential."
108,"Senior Analytical Chemist needed with 5+ years' GMP lab experience in HPLC, method validation, and transfer.  Requires Bachelor's degree in Chemistry and strong analytical, communication, and teamwork skills.  Responsibilities include testing, reporting, and mentoring."
109,"Principal Chemist needed for R&D in polymer synthesis and coating applications.  Lead projects, mentor team, scale-up products, investigate patentability, and present findings.  Requires organic chemistry expertise and strong communication skills. Master's or PhD in Chemistry."
110,"Senior Computational Chemist needed with 5+ years' pharma/biotech experience and PhD in a relevant field.  Lead drug discovery projects using 3D modeling, molecular dynamics, machine learning, and manage multidisciplinary teams.  Presentation and client communication skills essential."
111,"Analytical Chemist needed for regulatory food contact testing using GC-MS, HPLC, LC-MS, NMR, and other techniques.  Sample preparation, analysis, and report writing required.  EU and FDA methods experience preferred."
112,"Medicinal chemist needed.  PhD required.  Experience in organic synthesis, LC-MS, NMR.  Design and execute synthetic routes, interpret biological data, client interaction.  Strong communication skills."
113,"CMC Manager needed for drug substance development.  Requires MSc in Organic Chemistry, 3+ years' GMP experience, CMO management, regulatory submissions (FDA, ICH), and strong communication skills.  Responsibilities include dossier preparation, risk analysis, and collaboration with stakeholders."
114,"Senior Medicinal Chemist needed.  Leads team, designs & synthesizes molecules, interprets biological data, and manages client projects.  PhD in organic/medicinal chemistry and strong LC-MS/NMR skills required."
115,"Postdoctoral Chemist needed for high-throughput synthesis in medicinal chemistry.  Requires PhD in organic chemistry, expertise in parallel synthesis, flow chemistry, AI/ML, and strong communication skills.  Collaborative environment."
116,"Analytical Chemist needed with 2+ years' GMP lab experience (HPLC, GC, MS, etc.).  Requires strong data analysis, technical writing, and problem-solving skills.  Bachelor's degree in Chemistry minimum.  Method validation knowledge preferred."
117,"Research & Development Chemist position available.  Apply by December 15th, 2021. Contact Victoria Walker at 01246 457700 (Reference: Belper)."
118,"Research & Development Chemist needed.  CK Group seeks a chemist. Apply by December 15th, 2021. Contact Victoria Walker at 01246 457700 (Reference 52223)."
119,"Chemist needed for waste management.  Requires HNC Chemistry, GCSE Math/English, analytical skills,  knowledge of environmental/safety legislation, and experience in hazardous waste.  Responsibilities include waste processing, documentation, and compliance.  Driving license essential."
120,"Environmental Chemist/Ecotoxicologist needed.  Requires expertise in ecotoxicology, risk assessment, chemical analysis, regulatory compliance (REACH, GHS/CLP), and multimedia fate modeling.  Master's degree and strong communication skills essential.  Client management and business development experience preferred."
121,CK Group seeks a Mobile Chemist.  Contact Natalie Wood at 01246 457700 (Ref: 52231).  Application deadline: 15th December 2021.
122,"Synthetic organic chemist needed for contract research and process development.  Requires experience in multi-step organic synthesis, analysis, and pilot plant transfer.  Strong communication and problem-solving skills essential."
123,"Site Chemist needed to manage hazardous waste.  Responsibilities include analysis, testing, classification, and disposal of waste materials.  Forklift operation and site maintenance required. £20,000-£25,000 salary."
124,"Research Chemist needed with expertise in organometallic chemistry, homogeneous catalysis, and analytical techniques (NMR, HPLC, GC).  Experience in ligand synthesis, project management, and client communication required.  PhD or Master's degree in Organic/Organometallic Chemistry needed."
125,"Senior Chemist needed to lead coatings development, manage manufacturer relations, and improve processes.  Requires chemistry degree, team leadership experience, and cross-functional collaboration skills.  Involves project management, cost saving, and international travel."
126,"Synthetic organic chemist needed for contract research and process development.  Requires experience in multi-step organic synthesis, analysis, and pilot plant transfer.  Strong communication and problem-solving skills essential."
127,"Medicinal Chemist needed.  £29,000-£36,000 salary, pension, 25 days holiday, free parking.  Submit CV and cover letter."
128,"Remote chemist needed for customer support.  Duties include troubleshooting GC/GC-MS instruments, documentation, product maintenance,  fault analysis, training, and identifying sales opportunities. Travel may be required."
129,"QC Chemist needed.  Analyze products, report results timely.  Follow QSP procedures (ISO 9000/14001).  Use ICP-AES, AAS, Autotitrator, IC. Maintain equipment, lab cleanliness, and safety. Chemistry degree required."
130,"Synthetic organic chemist needed for contract research and process development.  Requires experience in multi-step organic synthesis, analysis, and pilot plant transfer.  Excellent communication and problem-solving skills essential."
131,"Synthetic organic chemist needed for contract research and process development.  Requires expertise in multi-step organic synthesis, analysis, and pilot plant transfer.  Strong communication and problem-solving skills essential."
132,"Organic Chemist needed with 5+ years' lab experience in reaction calorimetry and chemical hazards.  Duties include experiments, data analysis, report writing, equipment modification, and lab maintenance.  Plant production experience a plus."
133,"Physical Organic Chemist needed.  PhD preferred.  Requires expertise in analytical techniques, data analysis, and assay development.  Experience in agrochemical/pharmaceutical research a plus.  Teamwork and communication skills essential."
134,"PhD-level physical organic chemist needed.  Requires expertise in analytical techniques, data analysis, assay design, and teamwork.  Experience with electrochemistry/mass spectrometry a plus. Publication record preferred."
135,"Physical organic chemist needed.  PhD preferred.  Requires expertise in analytical techniques, data analysis, and assay development.  Experience in agrochemical/pharmaceutical research a plus.  Teamwork and communication skills essential."
136,"Synthetic organic chemist needed.  PhD or BSc/MSc in chemistry with relevant experience.  Proven practical skills, strong communication, and ability to meet deadlines required."
137,"Organic Chemist needed for analytical investigations of macromolecule-based therapeutics (peptides, oligonucleotides, excipients).  Requires LC/GC chromatography expertise.  Strong publication/presentation record preferred.  Antwerp location."
138,"Synthetic organic chemist needed.  PhD or BSc/MSc in chemistry with relevant experience.  Strong synthetic skills, problem-solving abilities, and communication skills required.  Ability to meet deadlines essential."
139,"Organic chemist needed for Phase III process development and product launch.  Responsibilities include process optimization, validation, troubleshooting, technology transfer, and regulatory compliance.  PhD or BSc (2.1) with relevant experience required. Excellent communication skills essential."
140,"Organic Chemist needed (4+ years exp., PhD preferred).  Develop robust synthetic routes for APIs, support manufacturing operations, process optimization, technology transfer, and ensure compliance.  Excellent communication skills required."
141,Synthetic organic chemist needed for custom synthesis projects (up to 20 liters).  Requires BSc/MChem; PhD preferred.  Pharmaceutical/life sciences experience desirable.  Handles potent APIs. Competitive salary and benefits.
142,"PhD Organic/Medicinal Chemist needed at BioAscent Discovery.  Requires lab experience with LC-MS and NMR, excellent communication skills, and teamwork abilities.  Apply before October 25th, 2021."
143,"Senior Process Chemist needed for a stable, growing agrochemical company.  Opportunity for excellent learning and growth."
144,"Senior Process Chemist needed for agrochemicals.  Requires 8+ years' R&D experience in process scale-up (Kilo Lab/Pilot Plant), troubleshooting, technology transfer, and CRO collaboration.  Strong organic chemistry background essential.  International travel (up to 10%)."
145,"Senior Process Chemist needed for agrochemical company.  Requires 8+ years R&D experience in process scale-up, technology transfer, and troubleshooting.  Experience with CROs and international travel preferred.  Develops and implements chemical processes, focusing on safety and cost-effectiveness."
146,"Senior Process Chemist needed for agrochemical company.  Requires 8+ years R&D experience in process scale-up, technology transfer, and troubleshooting.  Experience with CROs and international collaboration preferred.  Develops and implements safe, cost-effective chemical processes."
147,"Senior Process Chemist needed for drug substance development.  Requires PhD in organic chemistry (5+ years' experience), project leadership, and strong communication/negotiation skills.  Experience with regulatory submissions and outsourcing is essential.  International collaboration and travel expected."
148,"Process Chemist needed.  Requires MS/PhD in Chemistry, significant industrial experience in kilo lab/pilot plant synthetic chemistry.  Responsibilities include process safety, scale-up documentation, data recording, and supporting analytical/development teams."
149,"Process Chemist needed for pharmaceutical manufacturing.  Requires cGMP experience, data entry skills (SAP, Delta V), troubleshooting abilities, and teamwork.  API/small molecule experience preferred. Operational excellence certification a plus."
150,"Process Chemist needed for a medical device company in Ireland.  Requires organic chemistry expertise, process scale-up experience, and GMP knowledge.  Responsibilities include new product introduction, technology transfer, and cost reduction.  PhD desirable."
151,"Process Chemist needed for a leading Irish medical device company.  Requires organic chemistry expertise, process scale-up experience, and GMP manufacturing knowledge.  Project management skills and adherence to EHS standards essential.  PhD desirable."
152,"Process Chemist needed for a medical device company in Ireland.  Requires organic chemistry expertise, process scale-up experience, and GMP facility experience.  Responsibilities include new product introduction, cost reduction, and technical support.  A PhD in organic synthesis is desirable."
153,"CMC Manager needed with 3+ years' GMP experience in process chemistry, CMO management, and regulatory submissions (NDA/MAA, ICH guidelines).  Must have strong communication, problem-solving, and organizational skills.  MSc in Organic Chemistry required."
154,"Process Chemist needed with 4+ years' experience in regulated (food/pharma) process manufacturing.  Requires GMP, quality system, and SAP knowledge.  Responsibilities include quality control, process validation, and improving food safety systems."
155,"Lead Chemist needed for effluent treatment plant.  Responsibilities include chemical analysis, process control, operator training, lab management,  hazardous waste disposal, and audit participation (NADCAP/AS9100).  Requires A-level science/engineering background and strong leadership skills."
156,"Senior Process Chemist needed.  Responsibilities include [missing from provided text].  Apply by December 2nd, 2021."
157,"Process Chemist needed with 4+ years' experience in regulated manufacturing (pharma, food, etc.).  Responsibilities include GMP/quality system management, process development/validation, troubleshooting, and leading continuous improvement initiatives.  Requires strong analytical and problem-solving skills."
158,Process Chemist needed with experience in chemical manufacturing and reaction hazards.  Identify and mitigate hazards in chemical processes.  Requires chemistry/chemical engineering degree.  Thermal analysis experience a plus.
159,"Process Chemist needed with experience in chemical manufacturing and reaction hazard assessment.  Responsibilities include identifying hazards, advising on safe operations, and collaborating on new processes.  Chemistry or Chemical Engineering degree required."
